type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,ACTIVE LOG,40.79161406,-77.85987139,4627463.7353061,1779379.97757661,False,False,255,344.77001953125,0,0,2008/06/11-14:22:33,eTrex Venture, ,2008/06/11 09:22:33
TRACK,ACTIVE LOG,40.79172134,-77.85991430,4627475.0562103,1779374.22548807,False,False,255,343.80859375,0,0,2008/06/11-14:23:03,eTrex Venture, ,2008/06/11 09:23:03
TRACK,ACTIVE LOG,40.79172134,-77.85991430,4627475.0562103,1779374.22548807,False,False,255,340.924682617188,0,0,2008/06/11-14:23:45,eTrex Venture, ,2008/06/11 09:23:45
TRACK,ACTIVE LOG,40.79135656,-77.86012888,4627431.16046351,1779363.23028903,True,False,255,347.173217773438,0,0,2008/06/11-14:27:32,eTrex Venture, ,2008/06/11 09:27:32
TRACK,ACTIVE LOG,40.79112053,-77.85982847,4627409.33982599,1779393.34591179,False,False,255,346.212036132813,0,0,2008/06/11-14:27:57,eTrex Venture, ,2008/06/11 09:27:57
TRACK,ACTIVE LOG,40.79086304,-77.85950661,4627385.44746832,1779425.70289218,False,False,255,345.250610351563,0,0,2008/06/11-14:28:24,eTrex Venture, ,2008/06/11 09:28:24
TRACK,ACTIVE LOG,40.79075575,-77.85935640,4627375.73335314,1779440.5498292,False,False,255,345.731323242188,0,0,2008/06/11-14:28:44,eTrex Venture, ,2008/06/11 09:28:44
TRACK,ACTIVE LOG,40.79051971,-77.85905600,4627353.91165485,1779470.6652577,False,False,255,346.212036132813,0,0,2008/06/11-14:29:10,eTrex Venture, ,2008/06/11 09:29:10
TRACK,ACTIVE LOG,40.79045534,-77.85894871,4627348.34087781,1779481.02821242,False,False,255,348.134643554688,0,0,2008/06/11-14:29:35,eTrex Venture, ,2008/06/11 09:29:35
TRACK,ACTIVE LOG,40.79045534,-77.85894871,4627348.34087781,1779481.02821242,False,False,255,352.941162109375,0,0,2008/06/11-14:29:53,eTrex Venture, ,2008/06/11 09:29:53
TRACK,ACTIVE LOG,40.79032660,-77.85877705,4627336.55616698,1779498.11631935,False,False,255,349.095825195313,0,0,2008/06/11-14:30:29,eTrex Venture, ,2008/06/11 09:30:29
TRACK,ACTIVE LOG,40.79017639,-77.85858393,4627322.69873444,1779517.44674923,False,False,255,350.057250976563,0,0,2008/06/11-14:30:55,eTrex Venture, ,2008/06/11 09:30:55
TRACK,ACTIVE LOG,40.79019785,-77.85862684,4627324.44891961,1779513.3865948,False,False,255,352.941162109375,0,0,2008/06/11-14:31:34,eTrex Venture, ,2008/06/11 09:31:34
TRACK,ACTIVE LOG,40.79034805,-77.85881996,4627338.3052446,1779494.05637582,False,False,255,351.979858398438,0,0,2008/06/11-14:31:55,eTrex Venture, ,2008/06/11 09:31:55
TRACK,ACTIVE LOG,40.79024076,-77.85903454,4627323.12460431,1779477.98422633,False,False,255,350.537841796875,0,0,2008/06/11-14:32:17,eTrex Venture, ,2008/06/11 09:32:17
TRACK,ACTIVE LOG,40.79021931,-77.85905600,4627320.41090176,1779476.58822285,False,False,255,350.057250976563,0,0,2008/06/11-14:32:25,eTrex Venture, ,2008/06/11 09:32:25
TRACK,ACTIVE LOG,40.79024076,-77.85905600,4627322.80301647,1779476.16529588,False,False,255,351.499145507813,0,0,2008/06/11-14:32:54,eTrex Venture, ,2008/06/11 09:32:54
TRACK,ACTIVE LOG,40.79021931,-77.85905600,4627320.41090176,1779476.58822285,False,False,255,350.537841796875,0,0,2008/06/11-14:33:14,eTrex Venture, ,2008/06/11 09:33:14
TRACK,ACTIVE LOG,40.79015493,-77.85914183,4627311.94501541,1779470.5827101,False,False,255,351.979858398438,0,0,2008/06/11-14:33:33,eTrex Venture, ,2008/06/11 09:33:33
TRACK,ACTIVE LOG,40.79002619,-77.85931349,4627295.01549676,1779458.57124095,False,False,255,351.979858398438,0,0,2008/06/11-14:33:54,eTrex Venture, ,2008/06/11 09:33:54
TRACK,ACTIVE LOG,40.78987598,-77.85952806,4627275.04865997,1779443.34597797,False,False,255,353.902587890625,0,0,2008/06/11-14:34:20,eTrex Venture, ,2008/06/11 09:34:20
TRACK,ACTIVE LOG,40.78966141,-77.85972118,4627248.22583359,1779431.2076234,False,False,255,352.460571289063,0,0,2008/06/11-14:34:39,eTrex Venture, ,2008/06/11 09:34:39
TRACK,ACTIVE LOG,40.78959703,-77.85957098,4627243.29685689,1779445.2078692,False,False,255,352.941162109375,0,0,2008/06/11-14:35:00,eTrex Venture, ,2008/06/11 09:35:00
TRACK,ACTIVE LOG,40.78966141,-77.85950661,4627251.44112745,1779449.39455063,False,False,255,352.941162109375,0,0,2008/06/11-14:35:40,eTrex Venture, ,2008/06/11 09:35:40
